source,target,source_genesymbol,target_genesymbol,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,curation_effort,references,sources,n_sources,n_primary_sources,n_references,references_stripped
P01106,O14746,MYC,TERT,True,True,False,True,True,False,91,CollecTRI:10022128;CollecTRI:10491298;CollecTRI:10606235;CollecTRI:10637317;CollecTRI:10723141;CollecTRI:10786671;CollecTRI:10914736;CollecTRI:11274400;CollecTRI:11279234;CollecTRI:11287602;CollecTRI:11435602;CollecTRI:11606399;CollecTRI:11916966;CollecTRI:12044867;CollecTRI:12646176;CollecTRI:12695333;CollecTRI:12802280;CollecTRI:12807729;CollecTRI:12821782;CollecTRI:12941894;CollecTRI:12970752;CollecTRI:14519204;CollecTRI:14563552;CollecTRI:14611815;CollecTRI:14612409;CollecTRI:14744757;CollecTRI:15226182;CollecTRI:15371341;CollecTRI:15595642;CollecTRI:15655249;CollecTRI:15665468;CollecTRI:15958520;CollecTRI:16205635;CollecTRI:16287840;CollecTRI:16402390;CollecTRI:16489011;CollecTRI:16785237;CollecTRI:16880523;CollecTRI:17070091;CollecTRI:17141225;CollecTRI:17706770;CollecTRI:17934056;CollecTRI:17942561;CollecTRI:17967894;CollecTRI:18093727;CollecTRI:18158869;CollecTRI:18226852;CollecTRI:18365874;CollecTRI:18367227;CollecTRI:18586674;CollecTRI:18754863;CollecTRI:18818322;CollecTRI:19003324;CollecTRI:19047367;CollecTRI:19148473;CollecTRI:19360348;CollecTRI:19649288;CollecTRI:19762557;CollecTRI:19787269;CollecTRI:19806010;CollecTRI:19912441;CollecTRI:20454512;CollecTRI:20723213;CollecTRI:21132266;CollecTRI:21553143;CollecTRI:21627565;CollecTRI:21807113;CollecTRI:21855630;CollecTRI:21995449;CollecTRI:22207128;CollecTRI:23759068;CollecTRI:23860446;CollecTRI:24705139;CollecTRI:9988278;HTRIdb:11274400;HTRIdb:12695333;TRRUST:10022128;TRRUST:10637317;TRRUST:12941894;TRRUST:14611815;TRRUST:15595642;TRRUST:15958520;TRRUST:17706770;TRRUST:18093727;TRRUST:18226852;TRRUST:18754863;TRRUST:19912441;TRRUST:21132266;TRRUST:21553143;TRRUST:22207128;TRRUST:24705139,CollecTRI;DoRothEA;DoRothEA-A_CollecTRI;ExTRI_CollecTRI;HTRI_CollecTRI;HTRIdb;HTRIdb_DoRothEA;KEGG-MEDICUS;NTNU.Curated_CollecTRI;Pavlidis2021_CollecTRI;RegNetwork_DoRothEA;TFactS_CollecTRI;TFactS_DoRothEA;TRED_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,17,5,74,10022128;10491298;10606235;10637317;10723141;10786671;10914736;11274400;11279234;11287602;11435602;11606399;11916966;12044867;12646176;12695333;12802280;12807729;12821782;12941894;12970752;14519204;14563552;14611815;14612409;14744757;15226182;15371341;15595642;15655249;15665468;15958520;16205635;16287840;16402390;16489011;16785237;16880523;17070091;17141225;17706770;17934056;17942561;17967894;18093727;18158869;18226852;18365874;18367227;18586674;18754863;18818322;19003324;19047367;19148473;19360348;19649288;19762557;19787269;19806010;19912441;20454512;20723213;21132266;21553143;21627565;21807113;21855630;21995449;22207128;23759068;23860446;24705139;9988278
P84022,P05412,SMAD3,JUN,True,True,False,True,True,False,4,CollecTRI:10022869;CollecTRI:12374795;DoRothEA:10022869;TRRUST:10022869,CollecTRI;DoRothEA;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;RegNetwork_DoRothEA;TFactS_CollecTRI;TFactS_DoRothEA;TRED_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,11,3,2,10022869;12374795
Q13485,P05412,SMAD4,JUN,True,True,False,True,True,False,4,CollecTRI:10022869;CollecTRI:12374795;DoRothEA:10022869;TRRUST:10022869,CollecTRI;DoRothEA;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;RegNetwork_DoRothEA;TFactS_CollecTRI;TFactS_DoRothEA;TRED_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,11,3,2,10022869;12374795
P42229,P60568,STAT5A,IL2,True,True,False,True,True,False,12,CollecTRI:10022878;CollecTRI:11435608;CollecTRI:17182565;CollecTRI:17911616;CollecTRI:22854263;CollecTRI:24550509;CollecTRI:24587342;CollecTRI:7479881;CollecTRI:8683106;CollecTRI:8943338;CollecTRI:9121484;CollecTRI:9817603,CollecTRI;ExTRI_CollecTRI;KEGG-MEDICUS,3,2,12,10022878;11435608;17182565;17911616;22854263;24550509;24587342;7479881;8683106;8943338;9121484;9817603
P51692,P60568,STAT5B,IL2,True,True,False,True,True,False,1,CollecTRI:10022878,CollecTRI;ExTRI_CollecTRI;KEGG-MEDICUS,3,2,1,10022878
Q04206,P25445,RELA,FAS,True,True,True,True,True,False,15,CollecTRI:10022897;CollecTRI:10871852;CollecTRI:11290773;CollecTRI:11473033;CollecTRI:16317104;CollecTRI:16784892;CollecTRI:19628709;CollecTRI:22669972;CollecTRI:23604035;CollecTRI:9733827;TRRUST:10871852;TRRUST:16317104;TRRUST:16784892;TRRUST:19628709;TRRUST:9733827,CollecTRI;DoRothEA;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,7,3,10,10022897;10871852;11290773;11473033;16317104;16784892;19628709;22669972;23604035;9733827
P08047,P04075,SP1,ALDOA,True,True,False,True,True,False,5,CollecTRI:10023068;CollecTRI:8524331;DoRothEA:8524331;ORegAnno:8524331;PAZAR:8524331,CollecTRI;DoRothEA;DoRothEA-A_CollecTRI;ExTRI_CollecTRI;ORegAnno;ORegAnno_DoRothEA;PAZAR;RegNetwork_DoRothEA;TFactS_CollecTRI;TFactS_DoRothEA;TRED_DoRothEA;TRRD_DoRothEA,12,4,2,10023068;8524331
P04637,P08069,TP53,IGF1R,True,False,True,True,False,True,17,CollecTRI:10023442;CollecTRI:11001824;CollecTRI:12089352;CollecTRI:12444079;CollecTRI:15131018;CollecTRI:16181796;CollecTRI:17014845;CollecTRI:17097318;CollecTRI:17600529;CollecTRI:20633551;CollecTRI:22033326;CollecTRI:24205274;CollecTRI:8710868;TRRUST:11001824;TRRUST:12444079;TRRUST:17097318;TRRUST:17600529,CollecTRI;DoRothEA;ExTRI_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI;PAZAR_DoRothEA;ReMap_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,12,3,13,10023442;11001824;12089352;12444079;15131018;16181796;17014845;17097318;17600529;20633551;22033326;24205274;8710868
Q05516,P20248,ZBTB16,CCNA2,True,False,True,True,False,True,10,CollecTRI:10023668;CollecTRI:11920165;CollecTRI:14527952;CollecTRI:18504436;CollecTRI:20731660;DoRothEA:20731660;PAZAR:10023668;PAZAR:18504436;TRRUST:14527952;TRRUST:20731660,CollecTRI;DoRothEA;DoRothEA-A_CollecTRI;ExTRI_CollecTRI;PAZAR;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,8,4,5,10023668;11920165;14527952;18504436;20731660
Q01196,P08700,RUNX1,IL3,True,False,True,True,False,True,9,CollecTRI:10023677;CollecTRI:11997340;CollecTRI:15735013;CollecTRI:20506188;CollecTRI:8180380;CollecTRI:9036972;DoRothEA:15735013;PAZAR:11997340;TRRUST:15735013,CollecTRI;CytReg_CollecTRI;DoRothEA;DoRothEA-A_CollecTRI;ExTRI_CollecTRI;HOCOMOCO_DoRothEA;JASPAR_DoRothEA;PAZAR;PAZAR_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,12,4,6,10023677;11997340;15735013;20506188;8180380;9036972
