rank,term,p_value,z_score,combined_score,overlap_genes,adjusted_p_value,old_p_value,old_adjusted_p_value,neg_log10_adj_p,overlap_count
1,Cellular Response To Lipid (GO:0071396),4.635150859722679e-09,19.777146675576343,379.5154763043041,"['HSPA8', 'XBP1', 'INSIG1', 'SERPINE1', 'NRIP1', 'SPP1', 'TLR4', 'CXCL2', 'HSPA1A']",4.579529049406007e-06,0,0,5.339179181769204,9
2,Mitotic Cell Cycle Phase Transition (GO:0044772),1.098946877974054e-08,31.06484794275492,569.3046052935714,"['CCNA2', 'CDKN1A', 'MELK', 'CCND1', 'MYC', 'PLK1', 'CDC25B']",5.428797577191827e-06,0,0,5.265296351519407,7
3,Regulation Of Transcription By RNA Polymerase II (GO:0006357),8.915406320793731e-07,5.020522388059701,69.93745744397904,"['EGR1', 'CD40', 'XBP1', 'PLK1', 'JADE2', 'IKZF1', 'NFKBIA', 'CCNA2', 'FOSL1', 'DNAJB1', 'CCND1', 'ID2', 'MYC', 'DNAJA3', 'NRIP1', 'E2F2', 'TLR4', 'HSPA1A']",0.00025418840980671897,0,0,3.5948442557951563,18
4,Regulation Of Apoptotic Process (GO:0042981),1.0291028737114128e-06,7.825907042045371,107.89439623346992,"['EGR1', 'XBP1', 'MELK', 'SRC', 'MYC', 'DNAJA3', 'PLK1', 'KIF14', 'DUSP6', 'HSPA1A', 'IER3']",0.00025418840980671897,0,0,3.5948442557951563,11
5,Regulation Of G2/M Transition Of Mitotic Cell Cycle (GO:0010389),1.7088008382944347e-06,55.873772791023846,741.9879852387336,"['CDKN1A', 'CCND1', 'KIF14', 'CDC25B']",0.00029198133593641743,0,0,3.5346449086847493,4
6,Cellular Response To Organic Cyclic Compound (GO:0071407),2.1046659143065444e-06,18.496886674968867,241.77935018540649,"['HSPA8', 'EGR1', 'INSIG1', 'NRIP1', 'SPP1', 'HSPA1A']",0.00029198133593641743,0,0,3.5346449086847493,6
7,G2/M Transition Of Mitotic Cell Cycle (GO:0000086),2.395747292225211e-06,50.93606138107417,659.2051012520457,"['CCNA2', 'MELK', 'PLK1', 'CDC25B']",0.00029198133593641743,0,0,3.5346449086847493,4
8,Negative Regulation Of Apoptotic Process (GO:0043066),2.6504214905940406e-06,9.038983138245758,116.06770126298237,"['XBP1', 'SRC', 'MYC', 'DNAJA3', 'PLK1', 'KIF14', 'SFN', 'HSPA1A', 'IER3']",0.00029198133593641743,0,0,3.5346449086847493,9
9,Positive Regulation Of Cell Population Proliferation (GO:0008284),2.6957017769760525e-06,9.019450447669033,115.66409755293789,"['CCNA2', 'FOSL1', 'XBP1', 'CDKN1A', 'ID2', 'MYC', 'KIF14', 'HMOX1', 'CDC25B']",0.00029198133593641743,0,0,3.5346449086847493,9
10,Cell Cycle G2/M Phase Transition (GO:0044839),2.9552766795183953e-06,48.10144927536232,612.4237213484249,"['CCNA2', 'MELK', 'PLK1', 'CDC25B']",0.00029198133593641743,0,0,3.5346449086847493,4
