entrez_id,gene_symbol,mean_sigma
595,CCND1,2.2084994316101074
4792,NFKBIA,2.0781002044677734
2778,GNAS,2.0060653686523438
9053,MAP7,1.978684902191162
3162,HMOX1,1.9473965167999268
7099,TLR4,1.7089006900787354
3157,HMGCS1,1.7062697410583496
3303,HSPA1A,1.6478549242019653
9093,DNAJA3,1.641431450843811
6696,SPP1,1.608408808708191
3337,DNAJB1,1.594860553741455
3638,INSIG1,1.58242666721344
3312,HSPA8,1.5717004537582397
991,CDC20,1.5550421476364136
230,ALDOC,1.5347321033477783
5997,RGS2,1.5266691446304321
8061,FOSL1,1.5168683528900146
1958,EGR1,1.4972290992736816
79094,CHAC1,1.456387996673584
5347,PLK1,1.450528860092163
1848,DUSP6,1.4503488540649414
7494,XBP1,1.4450410604476929
54541,DDIT4,1.442213535308838
843,CASP10,1.4334356784820557
4312,MMP1,1.4281643629074097
890,CCNA2,1.4210634231567383
7874,USP7,1.4155566692352295
10670,RRAGA,1.4144288301467896
9928,KIF14,1.4021841287612915
1870,E2F2,1.3918156623840332
10112,KIF20A,1.387223720550537
3398,ID2,1.3774348497390747
2810,SFN,1.3766134977340698
2920,CXCL2,1.375796914100647
9833,MELK,1.368220567703247
5427,POLE2,1.3665956258773804
5054,SERPINE1,1.364189863204956
8204,NRIP1,1.3623205423355103
958,CD40,1.3622182607650757
5111,PCNA,1.3613229990005493
26520,TIMM9,1.3529258966445923
10320,IKZF1,1.352281928062439
23338,JADE2,1.3488785028457642
6714,SRC,1.3415894508361816
64428,NARFL,1.3414620161056519
1026,CDKN1A,1.3394012451171875
4609,MYC,1.3386337757110596
23335,WDR7,1.3331115245819092
994,CDC25B,1.3298251628875732
8870,IER3,1.3080748319625854
